external_gene_name,NIH_accession,NIH_description,GO terms
tpi1a,tpi1a,triosephosphate isomerase 1a,
PRRC2A,prrc2a,proline-rich coiled-coil 2A,
tmem198a,tmem198a,transmembrane protein 198a,
NRM,nrm,nurim,
HDGF,LOC111565082,hepatoma-derived growth factor,
desma,,,muscle contraction
RNMT,,,nucleus
,LOC111563412,phosphatidylinositol 4-kinase beta-like,
BCAP29,LOC111573645,B-cell receptor-associated protein 29-like,
gpr22b,LOC111578323,G-protein coupled receptor 22-like,membrane
FAN1,,,
ITPKB,itpkb,inositol-trisphosphate 3-kinase B,
wdr21,wdr21,WD repeat domain 21,
apba2a,apba2a,"amyloid beta (A4) precursor protein-binding, family A, member 2a",
DPF3,dpf3,double PHD fingers 3,
ptprna,ptprna,protein tyrosine phosphatase receptor type Na,
UBA3,LOC111572109,NEDD8-activating enzyme E1 catalytic subunit-like,
mcf2b,LOC111567417,proto-oncogene DBL,
,LOC111562453,potassium voltage-gated channel subfamily C member 1-like,membrane
DUOX2,duox2,dual oxidase 2,membrane
MBD2,mbd2,methyl-CpG binding domain protein 2,
LINS1,,,
apoa4a,apoa4a,apolipoprotein A-IV a,
SRSF6,c17h18orf54,chromosome 17 C18orf54 homolog,
CD6,LOC111569253,T-cell differentiation antigen CD6-like,
cers3a,,,membrane
rnd3b,,,
lipea,,,membrane
WDR91,,,
,hspb9,"heat shock protein, alpha-crystallin-related, 9",
DLX3,LOC111581745,homeobox protein Dlx3b-like,
dlx4a,LOC111581746,homeobox protein Dlx4a-like,
ilf3b,ilf3b,interleukin enhancer binding factor 3b,
duox,duox,dual oxidase,oxidoreductase activity
si:ch1073-322p19.1,LOC111583836,uncharacterized LOC111583836,nucleotide binding
smfn,LOC111583841,coiled-coil domain-containing protein 134,
UBE2Z,ube2z,ubiquitin-conjugating enzyme E2Z,
DSP,LOC111569875,desmoplakin,membrane
KIAA0895L,kiaa0895l,kiaa0895l,
f9b,f9b,coagulation factor IXb,
ABHD17C,abhd17c,"abhydrolase domain containing 17C, depalmitoylase",
UBTD2,ubtd2,ubiquitin domain containing 2,
IL12B,il12bb,"interleukin 12B, b",
IL16,il16,interleukin 16,
UBLCP1,,,metal ion binding
rnf145a,LOC111567424,RING finger protein 145,
SHCBP1,shcbp1,SHC SH2-domain binding protein 1,
ptger1b,LOC111570608,prostaglandin E2 receptor EP1 subtype-like,membrane
chst12a,chst12a,carbohydrate (chondroitin 4) sulfotransferase 12a,
cbx7a,cbx7a,chromobox homolog 7a,PRC1 complex
tlcd4b,tlcd4b,TLC domain containing 4b,
asb13a.1,asb13a.1,"ankyrin repeat and SOCS box containing 13a, tandem duplicate 1",
itga3a,LOC111583436,integrin alpha-3-like,membrane
asb13a.2,,,protein ubiquitination
PLEKHF1,plekhf1,"pleckstrin homology domain containing, family F (with FYVE domain) member 1",metal ion binding
MTFMT,,,
RFWD3,LOC111570607,ral guanine nucleotide dissociation stimulator-like 1,signal transduction
TBC1D7,tbc1d7,"TBC1 domain family, member 7",membrane
,LOC111572573,uncharacterized LOC111572573,
ECHDC3,echdc3,enoyl CoA hydratase domain containing 3,
eif4g3a,phactr1,phosphatase and actin regulator 1,
si:dkey-16p21.7,brsk1b,BR serine/threonine kinase 1b,
EBF1,LOC111567423,transcription factor COE1-A-like,
SIRT5,LOC111569881,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",metal ion binding
LRIG3,lrig3,leucine-rich repeats and immunoglobulin-like domains 3,
rgs5a,rgs5a,regulator of G protein signaling 5a,
DUSP22,LOC111573392,dual specificity protein phosphatase 22-B,
MRPL54,,,
TTC14,ttc14,tetratricopeptide repeat domain 14,nucleic acid binding
PPFIA1,ppfia1,PTPRF interacting protein alpha 1,
C19orf12,LOC111574037,protein C19orf12 homolog,
parp6b,LOC111567616,protein mono-ADP-ribosyltransferase PARP6,
adcy1a,LOC111569882,adenylate cyclase type 1-like,
slc6a11a,LOC111563188,sodium- and chloride-dependent betaine transporter-like,
JADE2,jade2,jade family PHD finger 2,
CDKN2AIPNL,cdkn2aipnl,CDKN2A interacting protein N-terminal like,
UBE2B,ube2b,ubiquitin-conjugating enzyme E2B (RAD6 homolog),
fgf13b,fgf13b,fibroblast growth factor 13b,
thrab,LOC111566418,thyroid hormone receptor alpha,
afap1l1b,LOC111567425,actin filament-associated protein 1-like 1,
ATP11B,atp11b,ATPase phospholipid transporting 11B,
vdac1,vdac1,voltage-dependent anion channel 1,
zgc:194202,,,membrane
COL4A6,,,
ATP6V1G1,atp6v1g1,ATPase H+ transporting V1 subunit G1,
lmbrd2b,lmbrd2b,LMBR1 domain containing 2b,
RGS4,rgs4,regulator of G protein signaling 4,
FETUB,LOC111581178,antihemorrhagic factor cHLP-B-like,cysteine-type endopeptidase inhibitor activity
mafaa,,,DNA binding
KANK4,kank4,KN motif and ankyrin repeat domains 4,
USP1,usp1,ubiquitin specific peptidase 1,hydrolase activity
gdf6b,gdf6b,growth differentiation factor 6b,extracellular region
PKHD1L1,LOC111568986,fibrocystin-L-like,
DOCK7,dock7,dedicator of cytokinesis 7,
CCDC77,cfap53,cilia and flagella associated protein 53,cilium
myo5b,myo5b,myosin VB,
MAT2B,mat2b,methionine adenosyltransferase 2 non-catalytic beta subunit methionine,
MRPL22,mrpl22,mitochondrial ribosomal protein L22,mitochondrion
GEMIN5,gemin5,gem (nuclear organelle) associated protein 5,
PISD,pisd,phosphatidylserine decarboxylase,
SEC22A,sec22a,"SEC22 homolog A, vesicle trafficking protein",
UBXN4,ubxn4,UBX domain protein 4,
NMI,nmi,N-myc (and STAT) interactor,
rnf224,,,
PMS1,pms1,"PMS1 homolog 1, mismatch repair system component",
,il7r,interleukin 7 receptor,
ORMDL1,ormdl1,ORMDL sphingolipid biosynthesis regulator 1,
EEF1A1,,,nucleotide binding
capslb,capslb,calcyphosine-like b,
fbrsl1,wu:fi75a02,bromodomain-containing protein 4,
,LOC111578393,probable serine/threonine-protein kinase kinX,
obsl1b,obsl1b,obscurin like cytoskeletal adaptor 1b,membrane
WDR4,wdr4,WD repeat domain 4,
,LOC111573594,mitogen-activated protein kinase kinase kinase 19-like,nucleotide binding
VLDLR,vldlr,very low density lipoprotein receptor,
si:ch211-140m22.7,si:ch211-140m22.7,uncharacterized LOC111580556,
ccdc149a,ccdc149a,coiled-coil domain containing 149a,
DHX15,dhx15,DEAH (Asp-Glu-Ala-His) box helicase 15,
KDM6A,kdm6a,lysine (K)-specific demethylase 6A,oxidoreductase activity
crabp2a,crabp2a,"cellular retinoic acid binding protein 2, a",lipid binding
GLMP,glmp,glycosylated lysosomal membrane protein,membrane
si:dkey-87o1.2,si:dkey-87o1.2,uncharacterized LOC118471748,
apoa4a,,,
APLP1,aplp1,amyloid beta (A4) precursor-like protein 1,
LRP12,lrp12,low density lipoprotein receptor-related protein 12,
cacng8a,LOC111568093,voltage-dependent calcium channel gamma-4 subunit-like,
cacng7a,cacng7a,"calcium channel, voltage-dependent, gamma subunit 7a",membrane
zgc:194578,LOC111565801,epsin-2-like,
CFAP300,,,
ENO2,eno2,enolase 2,glycolytic process
PTPN6,ptpn6,protein tyrosine phosphatase non-receptor type 6,
CNOT8,cnot8,"CCR4-NOT transcription complex, subunit 8",nucleic acid binding
cd9a,cd9a,CD9 molecule a,
FAM114A2,fam114a2,family with sequence similarity 114 member A2,
GSR,,,
igf2b,igf2b,insulin-like growth factor 2b,
VWF,,,
zgc:101785,anxa14,annexin A14,calcium ion binding
GALNT10,LOC111584904,polypeptide N-acetylgalactosaminyltransferase 10,membrane
SLC29A3,atp9b,ATPase phospholipid transporting 9B,
nr0b2a,nr0b2a,"nuclear receptor subfamily 0, group B, member 2a",
DHDDS,dhdds,dehydrodolichyl diphosphate synthase,
si:ch211-215k15.4,si:ch211-215k15.4,fucolectin-3,carbohydrate binding
kdf1a,kdf1a,keratinocyte differentiation factor 1a,
tpbgl,LOC111574012,trophoblast glycoprotein-like,
tmem222a,,,membrane
CREB3L4,creb3l4,cAMP responsive element binding protein 3-like 4,
sept7b,septin7b,septin 7b,
zgc:92313,zgc:92313,uncharacterized LOC111581593,extracellular region
MAPK7,mapk7,mitogen-activated protein kinase 7,
TMPRSS9,,,extracellular region
,ttc1,tetratricopeptide repeat domain 1,
ITGAM,LOC111581578,integrin alpha-X-like,metal ion binding
CENPE,cenpe,centromere protein E,nucleotide binding
SAP30L,sap30l,sap30-like,
SMIM8,smim8,small integral membrane protein 8,
gjb7,gjb7,gap junction protein beta 7,
,LOC111587291,protein LEG1 homolog,extracellular region
znf292b,znf292b,zinc finger protein 292b,metal ion binding
,LOC111581376,uncharacterized LOC111581376,GTP binding
ORAI1,LOC111581374,calcium release-activated calcium channel protein 1-like,
stx7l,stx7l,syntaxin 7-like,
kdm2ba,kdm2ba,lysine (K)-specific demethylase 2Ba,
PGAP6,LOC111571542,macrophage colony-stimulating factor 1 receptor 2-like,
,LOC111585474,tubulin beta-4B chain,
pcmt,pcmt,protein-L-isoaspartate (D-aspartate) O-methyltransferase,
rnf34a,rnf34a,ring finger protein 34a,metal ion binding
zgc:153352,c6h5orf34,chromosome 6 C5orf34 homolog,
zgc:123217,zgc:123217,uncharacterized LOC111581590,extracellular region
rictora,LOC111581375,rapamycin-insensitive companion of mTOR,
ADK,adkb,adenosine kinase b,
NUP43,nup43,nucleoporin 43,nucleus
LATS1,lats1,large tumor suppressor kinase 1,BMP signaling pathway
ccn2a,ccn2a,cellular communication network factor 2a,
LIN28B,lin28b,lin-28 homolog B (C. elegans),
NRBP1,,,
NPC1L1,npc1l1,NPC1-like 1,
nfat5a,nfat5a,nuclear factor of activated T cells 5a,
PAM,pam,peptidylglycine alpha-amidating monooxygenase,
NUDT7,LOC111569685,nudix (nucleoside diphosphate linked moiety X)-type motif 7,
hprt1l,hprt1l,"hypoxanthine phosphoribosyltransferase 1, like",
crybg1a,crybg1a,crystallin beta-gamma domain containing 1a,
,LOC111571939,anoctamin-1,membrane
GSC,gsc,goosecoid,
SLC31A2,,,
slc41a2a,slc41a2a,solute carrier family 41 member 2a,
DICER1,dicer1,"dicer 1, ribonuclease type III",
niban2a,niban2a,niban apoptosis regulator 2a,
SKP1,skp1,S-phase kinase-associated protein 1,
TCF7,tcf7,transcription factor 7,DNA binding
RAB10,rab10,"RAB10, member RAS oncogene family",
PM20D2,LOC111580838,peptidase M20 domain-containing protein 2-like,
cfap206,cfap206,cilia and flagella associated protein 206,cytoplasm
si:ch211-241j12.3,LOC111580836,uncharacterized LOC111580836,
FRK,frk,fyn-related Src family tyrosine kinase,
kif3ca,LOC111589028,kinesin-like protein KIF3C,
rbm14a,LOC111582688,RNA-binding protein 4-like,nucleic acid binding
capn3b,capn3b,calpain 3b,
cdh26.1,c14h5orf15,chromosome 14 C5orf15 homolog,
JAKMIP2,jakmip2,janus kinase and microtubule interacting protein 2,membrane
PGM2,pgm2,phosphoglucomutase 2,
,tesmin,testis expressed metallothionein like protein,
RPL27A,,,
si:ch1073-296i8.2,plex9.2,PML-like exon 9.2,
MPV17L2,,,
POT1,pot1,protection of telomeres 1 homolog,DNA binding
urahb,LOC111564070,5-hydroxyisourate hydrolase-like,
si:ch1073-174d20.2,afg3l1,AFG3-like AAA ATPase 1,
CRYZ,LOC111586941,quinone oxidoreductase-like,oxidoreductase activity
fzr1b,,,
DPH6,dph6,diphthamine biosynthesis 6,
EXD1,exd1,exonuclease 3'-5' domain containing 1,nucleobase-containing compound metabolic process
POLE2,,,
b3gnt2l,pigk,"phosphatidylinositol glycan anchor biosynthesis, class K",membrane
SLC16A7,zgc:165507,monocarboxylate transporter 2,
,LOC111588392,chemokine-like protein TAFA-2,
ETV6,etv6,ETS variant transcription factor 6,regulation of transcription by RNA polymerase II
si:ch73-252i11.1,si:ch73-252i11.1,uncharacterized LOC111588393,metal ion binding
LEMD3,lemd3,LEM domain containing 3,
SEMA4B,LOC111587575,semaphorin-4B-like,membrane
ZFAND3,LOC111565170,AN1-type zinc finger protein 3-like,
adma,adma,adrenomedullin a,
,clec3a,"C-type lectin domain family 3, member A",
VAT1L,vat1l,vesicle amine transport 1-like,
swap70a,swap70a,switching B cell complex subunit SWAP70a,
tmbim4,tmbim4,transmembrane BAX inhibitor motif containing 4,
,b2m,beta-2-microglobulin,
NAV3,nav3,neuron navigator 3,
CCNF,ccnf,cyclin F,
slitrk5b,slitrk5b,"SLIT and NTRK-like family, member 5b",
LSR,LOC111585577,cell surface A33 antigen-like,
SUMO2,LOC111576170,small ubiquitin like modifier 2,
FASTKD5,,,mitochondrion
avpr2aa,avpr2aa,"arginine vasopressin receptor 2a, duplicate a",
pou2f1b,pou2f1b,POU class 2 homeobox 1b,DNA binding
,LOC111576157,uncharacterized LOC111576157,
jpt1b,LOC111576174,jupiter microtubule associated homolog 1,
sept9a,LOC111576155,septin-9-like,
UBR4,ubr4,ubiquitin protein ligase E3 component n-recognin 4,
cldn10b,cldn10b,claudin 10b,
cldn10l2,,,membrane
CLDN10,,,membrane
PLEKHM3,plekhm3,"pleckstrin homology domain containing, family M, member 3",
dachd,dachd,dachshund d,nucleus
,LOC111583634,toll-like receptor 1,
KIAA1549L,,,membrane
TUB,tub,TUB bipartite transcription factor,
TUB,rras2,RAS related 2,
srgap1b,,,
FAM237A,,,
lamp1b,lamp1b,lysosomal associated membrane protein 1b,
grtp1b,LOC111578766,growth hormone-regulated TBC protein 1-A-like,
dcun1d2a,dcun1d2a,"DCN1, defective in cullin neddylation 1, domain containing 2a",
zgc:91849,LOC111588954,immunoglobulin superfamily member 3-like,membrane
GPR18,gpr18,G protein-coupled receptor 18,
gpr183a,gpr183a,G protein-coupled receptor 183a,
si:ch211-184m13.4,si:ch211-184m13.4,uncharacterized LOC111572825,membrane
tlr7,frmpd4,FERM and PDZ domain containing 4,cytoskeleton
RNF183,rnf183,ring finger protein 183,
,LOC111576158,uncharacterized LOC111576158,
MCRIP2,LOC111587528,MAPK regulated corepressor interacting protein 2-like,
DHX16,dhx16,DEAH (Asp-Glu-Ala-His) box polypeptide 16,
abca3b,abca3b,"ATP-binding cassette, sub-family A (ABC1), member 3b",
PPARGC1A,ppargc1a,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha",
GBA3,gba3,"glucosidase, beta, acid 3",carbohydrate metabolic process
ovol1a,ovol1a,ovo-like zinc finger 1a,neural crest cell migration
MUS81,mus81,MUS81 structure-specific endonuclease subunit,metal ion binding
tmem185,tmem185,transmembrane protein 185,membrane
dclk2b,LOC111583526,serine/threonine-protein kinase DCLK2-like,
TBC1D22A,tbc1d22a,"TBC1 domain family, member 22a",
ATG4A,,,
SGK2,sgk2a,serum/glucocorticoid regulated kinase 2a,
ccsapb,ccsapb,"centriole, cilia and spindle-associated protein b",
ACTA1,acta1b,"actin alpha 1, skeletal muscle b",
dusp3b,LOC111587719,dual specificity protein phosphatase 3-like,
RIC8B,ric8b,RIC8 guanine nucleotide exchange factor B,cytoplasm
ZNF536,LOC111576848,zinc finger protein 536-like,
PDP2,pdp2,putative pyruvate dehydrogenase phosphatase isoenzyme 2,metal ion binding
pkn1a,pkn1b,protein kinase N1b,nucleotide binding
ednrab,LOC111583537,endothelin-1 receptor-like,membrane
TTC29,ttc29,tetratricopeptide repeat domain 29,
SLC10A7,slc10a7,solute carrier family 10 member 7,membrane
RIC3,ric3a,RIC3 acetylcholine receptor chaperone a,
LMO1,lmo1,LIM domain only 1,
STK33,,,
rerglb,rerglb,RERG/RAS-like b,
TRIM66,trim66,tripartite motif containing 66,zinc ion binding
REELD1,,,membrane
,LOC111583616,uncharacterized LOC111583616,
cldn7a,cldn7a,claudin 7a,head development
DENND2B,,,guanyl-nucleotide exchange factor activity
ARID2,,,
TMEM9B,tmem9b,"TMEM9 domain family, member B",
znf513a,znf513a,zinc finger protein 513a,metal ion binding
NCOA7,,,
DENND4C,dennd4c,DENN/MADD domain containing 4C,cytoplasm
NUDT12,nudt12,nudix (nucleoside diphosphate linked moiety X)-type motif 12,metal ion binding
SNCAIP,sncaip,"synuclein, alpha interacting protein",
RBM33,rnf214,ring finger protein 214,
SNX2,snx2,sorting nexin 2,
BRAF,braf,"B-Raf proto-oncogene, serine/threonine kinase",
RNF217,rnf217,ring finger protein 217,metal ion binding
RRM2,,,membrane
SCUBE2,scube2,"signal peptide, CUB domain, EGF-like 2",
st6galnac5a,st6galnac5a,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5a",
TADA1,tada1,transcriptional adaptor 1,
,rab36,"RAB36, member RAS oncogene family",
depdc5,depdc5,"DEP domain containing 5, GATOR1 subcomplex subunit",
DPYSL3,dpysl3,dihydropyrimidinase like 3,
csnk2b,csnk2b,"casein kinase 2, beta polypeptide",
CAMK2N1,,,
MRPL24,mrpl24,mitochondrial ribosomal protein L24,
PTPRH,LOC129350537,platelet-derived growth factor receptor beta-like,
PTPRH,LOC111575719,platelet-derived growth factor receptor beta-like,
SEC31A,sec31a,"SEC31 homolog A, COPII coat complex component",
BCAN,LOC111565089,brevican core protein-like,
NECAP1,necap1,NECAP endocytosis associated 1,
NUP98,,,enteric nervous system development
cdc42l,LOC111571068,cell division control protein 42 homolog,
spaca4l,spaca4l,sperm acrosome associated 4 like,
spaca4l,,,
TSHZ1,tshz1,teashirt zinc finger homeobox 1,
PSMB4,psmb4,proteasome 20S subunit beta 4,
efna3a,efna3a,ephrin-A3a,
cratb,cratb,carnitine O-acetyltransferase b,
pcare2,,,
,znf106b,zinc finger protein 106b,RNA binding
CHURC1,churc1,churchill domain containing 1,
HTR1E,LOC111572594,5-hydroxytryptamine receptor 1E,
PREP,prep,prolyl endopeptidase,
NCSTN,ncstn,nicastrin,
ttbk2b,,,nucleotide binding
syndig1l,syndig1l,synapse differentiation inducing 1-like,
dse,dse,dermatan sulfate epimerase,
GABRR1,LOC111580830,gamma-aminobutyric acid receptor subunit rho-1-like,membrane
NT5DC1,,,metal ion binding
col10a1b,col10a1b,"collagen, type X, alpha 1b",extracellular region
xkr5a,xkr5a,XK related 5a,
TRAM2,tram2,translocation associated membrane protein 2,membrane
EFHC1,efhc1,EF-hand domain (C-terminal) containing 1,cytoplasm
,LOC111585463,protein eva-1 homolog A,membrane
MRPL19,mrpl19,mitochondrial ribosomal protein L19,
mycn,,,
PRDM1,prdm1c,"PR domain containing 1c, with ZNF domain",metal ion binding
SLC25A29,slc25a29,solute carrier family 25 member 29,
slc25a47a,slc25a47a,solute carrier family 25 member 47a,
dtnba,LOC111588988,dystrobrevin beta-like,
hadhab,hadhaa,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha a,
tgm1l1,tgm1l1,transglutaminase 1 like 1,
PRRT1,prrt1,proline-rich transmembrane protein 1,
MEF2D,LOC111565078,myocyte-specific enhancer factor 2D homolog,
COPS3,cops3,COP9 signalosome subunit 3,
si:dkeyp-3f10.16,,,membrane
rnasekb,rnasekb,"ribonuclease, RNase K b",
RNASEK-C17orf49,c14h17orf49,chromosome 14 C17orf49 homolog,
HAND1,LOC111568857,heart- and neural crest derivatives-expressed protein 1,
taf9,taf9,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor",
tmem79a,LOC111572034,transmembrane protein 79-like,membrane
syngap1a,,,
si:dkey-6n21.13,LOC111568041,P2Y purinoceptor 3,membrane
,LOC111586236,homeobox protein CHOX-CAD-like,
LRWD1,lrwd1,leucine-rich repeats and WD repeat domain containing 1,nucleus
h2az2a,LOC111586233,histone H2A-like,
,LOC129350545,histone H2B 1/2-like,
,LOC111580800,histone H2B 1/2-like,
coa3a,,,DNA binding
CASTOR1,LOC111568032,uncharacterized LOC111568032,monooxygenase activity
ALKBH4,alkbh4,"alkB homolog 4, lysine demthylase",
adra1ba,,,membrane
si:dkey-85a20.4,tarbp1,TAR (HIV-1) RNA binding protein 1,
asb12a,asb12a,ankyrin repeat and SOCS box-containing 12a,
PTS,pts,6-pyruvoyltetrahydropterin synthase,metal ion binding
NARF,narf,nuclear prelamin A recognition factor,
CBL,LOC111586006,E3 ubiquitin-protein ligase CBL-like,
TMEM94,tmem94,transmembrane protein 94,
mcama,mcama,melanoma cell adhesion molecule a,membrane
TMEM120A,LOC111565215,ion channel TACAN-like,membrane
pi15a,pi15a,peptidase inhibitor 15a,
shisa2b,LOC111570444,protein shisa-2,
,LOC111562963,5-hydroxytryptamine receptor 1D,membrane
spice1,spice1,spindle and centriole associated protein 1,
VSIR,vsir,V-set immunoregulatory receptor,
AMER2,amer2,APC membrane recruitment protein 2,
si:dkey-118j18.2,si:dkey-118j18.2,uncharacterized si:dkey-118j18.2,
tmem264,LOC111574725,transmembrane protein 121,
FAM204A,fam204a,family with sequence similarity 204 member A,
PIGN,,,membrane
RAB11FIP2,LOC111573125,rab11 family-interacting protein 2,
MCU,mcu,mitochondrial calcium uniporter,
RELCH,relch,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing",
HELLS,,,
PLCB3,plcb3,"phospholipase C, beta 3 (phosphatidylinositol-specific)",
dpysl5a,dpysl5a,dihydropyrimidinase like 5a,
PRDM4,prdm4,PR domain containing 4,
CLMN,clmna,calmin a,
SYNE3,,,membrane
MOCS1,mocs1,molybdenum cofactor synthesis 1,metal ion binding
MYT1L,myt1lb,"myelin transcription factor 1-like, b",
VRK3,vrk3,VRK serine/threonine kinase 3,
smyd2a,,,
,LOC111581007,scavenger receptor cysteine-rich type 1 protein M130-like,
GRHL1,tcerg1l,transcription elongation regulator 1 like,
KIF19,kif19,kinesin family member 19,
TMEM209,tmem209,transmembrane protein 209,membrane
sinhcafl,sinhcafl,"SIN3-HDAC complex associated factor, like",
RHBDF1,rhbdf1b,rhomboid 5 homolog 1b (Drosophila),
DENND5A,dennd5a,DENN/MADD domain containing 5A,
Csnk1e,csnk1e,"casein kinase 1, epsilon",nucleotide binding
RSL1D1,rsl1d1,ribosomal L1 domain containing 1,
DPY30,,,
TELO2,telo2,"TEL2, telomere maintenance 2, homolog (S. cerevisiae)",
TTYH2,ttyh2,tweety family member 2,
RPL38,rpl38,ribosomal protein L38,
drd6b,,,membrane
,ccser2b,coiled-coil serine-rich protein 2b,
sub1b,,,
,plaub,"plasminogen activator, urokinase b",extracellular region
grin2cb,LOC111567437,"glutamate receptor ionotropic, NMDA 2C-like",
KLHL11,klhl11,kelch-like family member 11,
aclyb,aclyb,ATP citrate lyase b,
DNAJB2,dnajb2,DnaJ heat shock protein family (Hsp40) member B2,
tmem41aa,tmem41aa,transmembrane protein 41aa,membrane
EHHADH,ehhadh,"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase",
C3orf70,zgc:162707,UPF0524 protein C3orf70 homolog B,
NEPRO,,,
WDSUB1,LOC111575753,"WD repeat, SAM and U-box domain-containing protein 1-like",
tanc1b,tanc1b,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1b",
chd4a,,,metal ion binding
mycla,LOC111577966,protein L-Myc-1b-like,
IFT43,,,intraciliary transport particle A
GPATCH2L,LOC111578304,G patch domain-containing protein 2-like,
KIF15,kif15,kinesin family member 15,nucleotide binding
slc7a8b,,,
EGR1,LOC111565216,early growth response protein 1-like,metal ion binding
,ccdc65,coiled-coil domain containing 65,
FAM53C,fam53c,family with sequence similarity 53 member C,
,LOC111586251,hepatitis A virus cellular receptor 1 homolog,
slbp2,slbp2,stem-loop binding protein 2,RNA binding
TMEM248,tmem248,transmembrane protein 248,
ZMAT2,zmat2,"zinc finger, matrin-type 2",dorsal/ventral pattern formation
gria1b,LOC111585856,glutamate receptor 1-like,
SP2,sp2,sp2 transcription factor,
FHDC1,fhdc1,FH2 domain containing 1,
,dok1a,docking protein 1a,
GLRA3,glra3,"glycine receptor, alpha 3",membrane
BEND7,bend7,BEN domain containing 7,
abcc3,abcc3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",
th,th,tyrosine hydroxylase,
vamp2,vamp2,vesicle-associated membrane protein 2,
GSX1,gsx1,GS homeobox 1,
,haus1,"HAUS augmin-like complex, subunit 1",cytoplasm
MIS18A,,,nucleus
HUNK,hunk,hormonally up-regulated Neu-associated kinase,
scaf4a,scaf4a,SR-related CTD-associated factor 4a,
map6a,map6a,microtubule-associated protein 6a,cytoplasm
MOGAT2,mogat2,monoacylglycerol O-acyltransferase 2,membrane
si:ch211-266i6.3,,,cytoplasm
STT3A,stt3a,STT3 oligosaccharyltransferase complex catalytic subunit A,
,zgc:171566,zgc:171566,
cadpsa,cadpsa,Ca2+-dependent activator protein for secretion a,
FGFRL1,LOC111578918,fibroblast growth factor receptor-like 1,membrane
ZFYVE28,zfyve28,"zinc finger, FYVE domain containing 28",
msi2a,msi2b,musashi RNA-binding protein 2b,
LIG3,lig3,"ligase III, DNA, ATP-dependent",
Celf6,celf6,CUGBP Elav-like family member 6,
RPP25,,,
mtss1la,mtss1lb,MTSS I-BAR domain containing 2b,
TMEM150C,tmem150c,transmembrane protein 150C,membrane
KIF2A,LOC111565799,kinesin-like protein KIF2A,
phyhiplb,phyhiplb,phytanoyl-CoA 2-hydroxylase interacting protein-like b,
MFSD13A,mfsd13a,major facilitator superfamily domain containing 13A,
exoc7,exoc7,exocyst complex component 7,protein transport
acana,,,membrane
adra2db,LOC111570710,alpha-2Db adrenergic receptor-like,
SLC35C1,slc35c1,solute carrier family 35 member C1,
STRA6,LOC111575101,receptor for retinol uptake stra6-like,membrane
islr2,LOC111576513,immunoglobulin superfamily containing leucine-rich repeat protein 2-like,
mpped2a,mpped2a,metallophosphoesterase domain containing 2a,
grk7a,grk7a,G protein-coupled receptor kinase 7a,nucleotide binding
ncanb,LOC111572332,neurocan core protein,
RO60,ro60,"Ro60, Y RNA binding protein",
rab6bb,rab6bb,"RAB6B, member RAS oncogene family b",
atp1b3a,atp1b3a,ATPase Na+/K+ transporting subunit beta 3a,
NDUFA13,ndufa13,NADH:ubiquinone oxidoreductase subunit A13,
ppp1cab,,,
,LOC111575696,gastrula zinc finger protein XlCGF57.1-like,
DDX31,,,
,LOC111578128,gastrula zinc finger protein XlCGF57.1-like,
NPLOC4,nploc4,"NPL4 homolog, ubiquitin recognition factor",
NUP50,nup50,nucleoporin 50,
SNRPF,snrpf,small nuclear ribonucleoprotein polypeptide F,
LGR6,LOC111571220,leucine-rich repeat-containing G-protein coupled receptor 5-like,membrane
ptprn2,LOC111571221,myelin regulatory factor-like protein,
notum1a,LOC111584178,macrophage mannose receptor 1-like,
notum1a,LOC111579074,macrophage mannose receptor 1,
notum1a,,,
grm8a,grm8a,"glutamate receptor, metabotropic 8a",
,si:dkey-230p4.1,trichohyalin,membrane
gtf3aa,gtf3aa,general transcription factor IIIAa,
ier2b,,,
,LOC111583527,hatching enzyme 1.2-like,
,LOC111567205,adhesion G-protein coupled receptor G2,membrane
LPCAT2,lpcat2,lysophosphatidylcholine acyltransferase 2,
,LOC111588819,abl interactor 2-like,
PKIG,pkig,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma",
ano11,ano11,anoctamin 11,
CHST1,chst1,carbohydrate (keratan sulfate Gal-6) sulfotransferase 1,
MESD,mesd,mesoderm development LRP chaperone,
ENKUR,LOC111574525,enkurin-like,
ctsd,ctsd,cathepsin D,
THSD4,LOC111577678,thrombospondin type-1 domain-containing protein 4,
si:ch211-266g18.9,si:ch211-266g18.9,transforming growth factor-beta receptor-associated protein 1,intracellular protein transport
FHL5,fhl5,four and a half LIM domains 5,
tmem30aa,tmem30aa,transmembrane protein 30Aa,membrane
ddhd1a,ddhd1a,DDHD domain containing 1a,
cep170ab,,,
TTC39B,LOC111578804,tetratricopeptide repeat protein 39B,
tmem237a,,,membrane
NUP35,nup35,nucleoporin 35,nucleus
etv5a,etv5a,ETS variant transcription factor 5a,regulation of transcription by RNA polymerase II
